"genus","species","english_common_name","aou","binomial","SpecID","PassNonPass","IOCOrder","BLFamilyLatin","BLFamilyEnglish","BLFamSequID","Taxo","English","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.5Cat","Diet.Source","Diet.Certainty","Diet.EnteredBy","ForStrat.watbelowsurf","ForStrat.wataroundsurf","ForStrat.ground","ForStrat.understory","ForStrat.midhigh","ForStrat.canopy","ForStrat.aerial","PelagicSpecialist","ForStrat.Source","ForStrat.SpecLevel","ForStrat.EnteredBy","Nocturnal","BodyMass.Value","BodyMass.Source","BodyMass.SpecLevel","BodyMass.Comment","Record.Comment","Scientific","migclass","Foraging","Coarse.trophic","Trophic.guild"
"Trogon","elegans","Elegant Trogon",3890,"Trogon elegans",1438,"Nonpasseriformes","Trogoniformes","Trogonidae","Trogons",81,"BL3","Elegant Trogon",50,0,0,0,0,0,50,0,0,0,"Omnivore","Ref_6","A","Hamish",0,0,0,0,30,70,0,0,"Ref_6",1,"Christian",0,70.89,"Dunning08",1,"","",NA,NA,NA,NA,"Frugivore: upper-canopy gleaner"
"Melanerpes","lewis","Lewis's Woodpecker",4080,"Melanerpes lewis",878,"Nonpasseriformes","Piciformes","Picidae","Woodpeckers",95,"BL3","Lewis's Woodpecker",60,0,0,0,0,0,0,20,20,0,"Invertebrate","Ref_7","A","Jennifer",0,0,0,50,50,0,0,0,"Ref_7",1,"Jessica",0,105.76,"Dunning08",1,"","",NA,"short","hawks","insectivore","Insectivore: air hawker under canopy"
"Melanerpes","erythrocephalus","Red-headed Woodpecker",4060,"Melanerpes erythrocephalus",881,"Nonpasseriformes","Piciformes","Picidae","Woodpeckers",95,"BL3","Red-headed Woodpecker",60,0,0,0,10,0,0,0,20,10,"Invertebrate","Ref_7","A","Jennifer",0,0,20,20,60,0,0,0,"Ref_7",1,"Jessica",0,71.6,"Dunning08",1,"","",NA,"short","bark glean","omnivore","Insectivore: air hawker under canopy"
"Melanerpes","formicivorus","Acorn Woodpecker",4070,"Melanerpes formicivorus",882,"Nonpasseriformes","Piciformes","Picidae","Woodpeckers",95,"BL3","Acorn Woodpecker",20,0,0,0,0,0,10,10,60,0,"PlantSeed","Ref_7","A","Jennifer",0,0,0,0,40,60,0,0,"Ref_7",1,"Other",0,79.62,"Dunning08",1,"","",NA,"resid","bark glean","omnivore","Insectivore: bark excavator"
"Melanerpes","uropygialis","Gila Woodpecker",4110,"Melanerpes uropygialis",894,"Nonpasseriformes","Piciformes","Picidae","Woodpeckers",95,"BL3","Gila Woodpecker",40,10,10,0,0,0,20,10,10,0,"Omnivore","Ref_7","A","Jennifer",0,0,20,20,40,20,0,0,"Ref_7",1,"Jessica",0,64.66,"Dunning08",1,"","",NA,"resid","bark glean","omnivore","Insectivore: bark excavator"
"Melanerpes","aurifrons","Golden-fronted Woodpecker",4100,"Melanerpes aurifrons",897,"Nonpasseriformes","Piciformes","Picidae","Woodpeckers",95,"BL3","Golden-fronted Woodpecker",40,0,0,0,10,0,30,0,20,0,"Omnivore","Ref_7","A","Jennifer",0,0,20,20,60,0,0,0,"Ref_7",1,"Other",0,80.77,"Dunning08",1,"","",NA,"resid","bark glean","insectivore","Insectivore: bark excavator"
"Melanerpes","carolinus","Red-bellied Woodpecker",4090,"Melanerpes carolinus",895,"Nonpasseriformes","Piciformes","Picidae","Woodpeckers",95,"BL3","Red-bellied Woodpecker",30,10,10,0,0,0,20,10,20,0,"Omnivore","Ref_7","A","Jennifer",0,0,0,0,20,60,20,0,"Ref_7",1,"Jessica",0,69.5,"Dunning08",1,"","",NA,"resid","bark glean","insectivore","Insectivore: bark excavator"
"Sphyrapicus","thyroideus","Williamson's Sapsucker",4040,"Sphyrapicus thyroideus",903,"Nonpasseriformes","Piciformes","Picidae","Woodpeckers",95,"BL3","Williamson's Sapsucker",50,0,0,0,0,0,20,30,0,0,"Omnivore","Ref_7","A","Jennifer",0,0,10,20,50,20,0,0,"Ref_7",1,"Other",0,47.6,"Dunning08",1,"","",NA,"short","bark glean","insectivore","Insectivore: bark excavator"
"Sphyrapicus","varius","Yellow-bellied Sapsucker",4020,"Sphyrapicus varius",900,"Nonpasseriformes","Piciformes","Picidae","Woodpeckers",95,"BL3","Yellow-bellied Sapsucker",50,0,0,0,0,0,10,30,10,0,"Omnivore","Ref_7","A","Jennifer",0,0,0,30,40,30,0,0,"Ref_7",1,"Other",0,50.3,"Dunning08",1,"","",NA,"short","bark glean","insectivore","Insectivore: bark excavator"
"Sphyrapicus","nuchalis","Red-naped Sapsucker",4021,"Sphyrapicus nuchalis",901,"Nonpasseriformes","Piciformes","Picidae","Woodpeckers",95,"BL3","Red-naped Sapsucker",50,0,0,0,0,0,10,30,10,0,"Omnivore","Ref_7","A","Jennifer",0,0,0,20,40,40,0,0,"Ref_7",1,"Other",0,48.49,"Dunning08",1,"","",NA,"short","bark glean","insectivore","Insectivore: bark excavator"
"Sphyrapicus","ruber","Red-breasted Sapsucker",4030,"Sphyrapicus ruber",902,"Nonpasseriformes","Piciformes","Picidae","Woodpeckers",95,"BL3","Red-breasted Sapsucker",70,0,0,0,0,0,0,0,0,30,"Invertebrate","Ref_7","A","Jennifer",0,0,0,0,20,80,0,0,"Ref_7",1,"Jessica",0,54.79,"Dunning08",1,"","",NA,"short","bark glean","insectivore","Insectivore: bark excavator"
"Picoides","scalaris","Ladder-backed Woodpecker",3960,"Picoides scalaris",959,"Nonpasseriformes","Piciformes","Picidae","Woodpeckers",95,"BL3","Ladder-backed Woodpecker",80,0,0,0,0,0,20,0,0,0,"Invertebrate","Ref_7","A","Jennifer",0,0,10,30,30,30,0,0,"Ref_7",1,"Jessica",0,31.59,"Dunning08",1,"","",NA,"resid","bark glean","insectivore","Insectivore: bark excavator"
"Picoides","nuttallii","Nuttall's Woodpecker",3970,"Picoides nuttallii",958,"Nonpasseriformes","Piciformes","Picidae","Woodpeckers",95,"BL3","Nuttall's Woodpecker",70,0,0,0,0,0,10,10,10,0,"Invertebrate","Ref_7","A","Jennifer",0,0,20,40,40,0,0,0,"Ref_7",1,"Jessica",0,37.39,"Dunning08",1,"","",NA,"resid","bark glean","insectivore","Insectivore: bark excavator"
"Picoides","pubescens","Downy Woodpecker",3940,"Picoides pubescens",960,"Nonpasseriformes","Piciformes","Picidae","Woodpeckers",95,"BL3","Downy Woodpecker",80,0,0,0,0,0,10,0,10,0,"Invertebrate","Ref_7","A","Jennifer",0,0,0,20,40,40,0,0,"Ref_7",1,"Jessica",0,25.55,"Dunning08",1,"","",NA,"resid","bark glean","insectivore","Insectivore: bark excavator"
"Picoides","villosus","Hairy Woodpecker",3930,"Picoides villosus",965,"Nonpasseriformes","Piciformes","Picidae","Woodpeckers",95,"BL3","Hairy Woodpecker",70,0,0,0,0,0,10,10,10,0,"Invertebrate","Ref_7","A","Jennifer",0,0,20,30,50,0,0,0,"Ref_7",1,"Jessica",0,62.65,"Dunning08",1,"","",NA,"resid","bark glean","insectivore","Insectivore: bark excavator"
"Picoides","arizonae","Arizona Woodpecker",3975,"Picoides arizonae",19826,"Nonpasseriformes","Piciformes","Picidae","Woodpeckers",95,"BL3","Arizona Woodpecker",80,0,0,0,0,0,10,0,10,0,"Invertebrate","Ref_7","A","Jennifer",0,0,0,50,50,0,0,0,"Ref_7",1,"Jessica",0,40.87,"Dunning08",1,"","DataFromSplit",NA,NA,NA,NA,"Insectivore: bark excavator"
"Picoides","borealis","Red-cockaded Woodpecker",3950,"Picoides borealis",961,"Nonpasseriformes","Piciformes","Picidae","Woodpeckers",95,"BL3","Red-cockaded Woodpecker",70,0,0,0,0,0,20,0,10,0,"Invertebrate","Ref_7","A","Jennifer",0,0,0,50,50,0,0,0,"Ref_7",1,"Jessica",0,47.99,"Dunning08",1,"","",NA,"resid","bark glean","insectivore","Insectivore: bark excavator"
"Picoides","albolarvatus","White-headed Woodpecker",3990,"Picoides albolarvatus",966,"Nonpasseriformes","Piciformes","Picidae","Woodpeckers",95,"BL3","White-headed Woodpecker",70,0,0,0,0,0,0,10,20,0,"Invertebrate","Ref_7","A","Jennifer",0,0,10,40,40,10,0,0,"Ref_7",1,"Other",0,61.07,"Dunning08",1,"","",NA,"resid","bark glean","insectivore","Insectivore: bark excavator"
"Picoides","dorsalis","American Three-toed Woodpecker",4010,"Picoides dorsalis",969,"Nonpasseriformes","Piciformes","Picidae","Woodpeckers",95,"BL3","American Three-toed Woodpecker",90,0,0,0,0,0,0,10,0,0,"Invertebrate","Ref_7","A","Jennifer",0,0,10,20,70,0,0,0,"Ref_7",1,"Jessica",0,55.05,"Dunning08",1,"","",NA,"resid","bark glean","insectivore","Insectivore: bark excavator"
"Picoides","arcticus","Black-backed Woodpecker",4000,"Picoides arcticus",970,"Nonpasseriformes","Piciformes","Picidae","Woodpeckers",95,"BL3","Black-backed Woodpecker",70,0,0,0,0,0,10,10,10,0,"Invertebrate","Ref_7","A","Jennifer",0,0,0,80,20,0,0,0,"Ref_7",1,"Jessica",0,69.24,"Dunning08",1,"","",NA,"resid","bark glean","insectivore","Insectivore: bark excavator"
"Colaptes","chrysoides","Gilded Flicker",4140,"Colaptes chrysoides",1003,"Nonpasseriformes","Piciformes","Picidae","Woodpeckers",95,"BL3","Gilded Flicker",60,0,0,0,0,0,20,0,20,0,"Invertebrate","Ref_7","A","Jennifer",0,0,60,20,20,0,0,0,"Ref_7",1,"Jessica",0,111,"Dunning08",1,"","",NA,NA,NA,NA,"Insectivore: ground gleaner"
"Dryocopus","pileatus","Pileated Woodpecker",4050,"Dryocopus pileatus",1021,"Nonpasseriformes","Piciformes","Picidae","Woodpeckers",95,"BL3","Pileated Woodpecker",70,0,0,0,0,0,20,0,10,0,"Invertebrate","Ref_7","A","Jennifer",0,0,20,30,30,20,0,0,"Ref_7",1,"Other",0,286.59,"Dunning08",1,"","",NA,"resid","bark glean","insectivore","Insectivore: bark excavator"
"Myiopsitta","monachus","Monk Parakeet",3824,"Myiopsitta monachus",2226,"Nonpasseriformes","Psittaciformes","Psittacidae","Parrots",68,"BL3","Monk Parakeet",10,0,0,0,0,0,30,0,30,30,"PlantSeed","Ref_4","A","Carolina",0,0,20,20,40,20,0,0,"Ref_4",1,"Jessica",0,120,"Dunning08",1,"","",NA,NA,NA,NA,NA
"Brotogeris","chiriri","Yellow-chevroned Parakeet",52021,"Brotogeris chiriri",2241,"Nonpasseriformes","Psittaciformes","Psittacidae","Parrots",68,"BL3","Yellow-chevroned Parakeet",0,0,0,0,0,0,50,10,20,20,"FruiNect","Ref_4","D1","Carolina",0,0,30,30,20,20,0,0,"Genus",0,"Walter",0,61.6,"Dunning08",1,"","",NA,NA,NA,NA,NA
"Amazona","viridigenalis","Red-crowned Parrot",3826,"Amazona viridigenalis",2288,"Nonpasseriformes","Psittaciformes","Psittacidae","Parrots",68,"BL3","Red-crowned Amazon",0,0,0,0,0,0,30,0,30,40,"PlantSeed","Ref_4","A","Carolina",0,0,20,20,40,20,0,0,"Ref_4",1,"Jessica",0,316,"Dunning08",1,"","",NA,NA,NA,NA,"Granivore: lower to upper canopy gleaner"
"Psittacula","krameri","Rose-ringed Parakeet",3823,"Psittacula krameri",2134,"Nonpasseriformes","Psittaciformes","Psittacidae","Parrots",68,"BL3","Rose-ringed Parakeet",0,0,0,0,0,0,50,10,20,20,"FruiNect","Ref_4","A","Carolina",0,0,30,30,30,10,0,0,"Ref_4",1,"Other",0,116.11,"Dunning08",1,"","",NA,NA,NA,NA,NA
"Melopsittacus","undulatus","Budgerigar",3822,"Melopsittacus undulatus",2089,"Nonpasseriformes","Psittaciformes","Psittacidae","Parrots",68,"BL3","Budgerigar",0,0,0,0,0,0,0,0,100,0,"PlantSeed","Ref_4","A","Carolina",0,0,60,40,0,0,0,0,"Ref_4",1,"Jessica",0,28.99,"Dunning08",1,"","",NA,NA,NA,NA,NA
"Camptostoma","imberbe","Northern Beardless-Tyrannulet",4720,"Camptostoma imberbe",5848,"Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",105,"BL3","Northern Beardless-tyrannulet",70,0,0,0,0,0,30,0,0,0,"Invertebrate","Ref_9","A","Carolina",0,0,0,20,30,50,0,0,"Ref_9",1,"Jessica",0,7.4,"Dunning08",1,"","",NA,NA,NA,NA,"Insectivore: air hawker under canopy"
"Contopus","cooperi","Olive-sided Flycatcher",4590,"Contopus cooperi",6019,"Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",105,"BL3","Olive-sided Flycatcher",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_9","A","Carolina",0,0,0,50,50,0,0,0,"Ref_9",1,"Jessica",0,32.1,"Dunning08",1,"","",NA,"neotrop","hawks","insectivore","Insectivore: air hawker under canopy"
"Contopus","pertinax","Greater Pewee",4600,"Contopus pertinax",6022,"Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",105,"BL3","Greater Pewee",90,0,0,0,0,0,10,0,0,0,"Invertebrate","Ref_9","A","Carolina",0,0,0,0,100,0,0,0,"Ref_9",1,"Jessica",0,27.2,"Dunning08",1,"","",NA,NA,NA,NA,"Insectivore: air hawker under canopy"
"Contopus","sordidulus","Western Wood-Pewee",4620,"Contopus sordidulus",6027,"Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",105,"BL3","Western Wood-pewee",90,0,0,0,0,0,10,0,0,0,"Invertebrate","Ref_9","A","Carolina",0,0,33,33,33,0,0,0,"Ref_9",1,"Jessica",0,13.1,"Dunning08",1,"","",NA,"neotrop","hawks","insectivore","Insectivore: air hawker under canopy"
"Contopus","virens","Eastern Wood-Pewee",4610,"Contopus virens",6028,"Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",105,"BL3","Eastern Wood-pewee",90,0,0,0,0,0,10,0,0,0,"Invertebrate","Ref_9","A","Carolina",0,0,33,33,33,0,0,0,"Ref_9",1,"Jessica",0,13.9,"Dunning08",1,"","",NA,"neotrop","hawks","insectivore","Insectivore: air hawker under canopy"
"Empidonax","flaviventris","Yellow-bellied Flycatcher",4630,"Empidonax flaviventris",6036,"Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",105,"BL3","Yellow-bellied Flycatcher",90,0,0,0,0,0,10,0,0,0,"Invertebrate","Ref_9","A","Carolina",0,0,20,80,0,0,0,0,"Ref_9",1,"Jessica",0,11.8,"Dunning08",1,"","",NA,"neotrop","hawks","insectivore","Insectivore: air hawker under canopy"
"Empidonax","virescens","Acadian Flycatcher",4650,"Empidonax virescens",6037,"Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",105,"BL3","Acadian Flycatcher",80,0,0,0,0,0,20,0,0,0,"Invertebrate","Ref_9","A","Carolina",0,0,0,33,33,33,0,0,"Ref_9",1,"Jessica",0,12.6,"Dunning08",1,"","",NA,"neotrop","hawks","insectivore","Insectivore: air hawker under canopy"
"Empidonax","alnorum","Alder Flycatcher",4661,"Empidonax alnorum",6038,"Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",105,"BL3","Alder Flycatcher",80,0,0,0,0,0,20,0,0,0,"Invertebrate","Ref_9","A","Carolina",0,0,0,0,100,0,0,0,"Ref_9",1,"Jessica",0,12.7,"Dunning08",1,"","",NA,"neotrop","hawks","insectivore","Insectivore: air hawker under canopy"
"Empidonax","traillii","Willow Flycatcher",4660,"Empidonax traillii",6040,"Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",105,"BL3","Willow Flycatcher",90,0,0,0,0,0,10,0,0,0,"Invertebrate","Ref_9","A","Carolina",0,0,0,80,20,0,0,0,"Ref_9",1,"Jessica",0,13.39,"Dunning08",1,"","",NA,"neotrop","hawks","insectivore","Insectivore: air hawker under canopy"
"Empidonax","minimus","Least Flycatcher",4670,"Empidonax minimus",6042,"Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",105,"BL3","Least Flycatcher",90,0,0,0,0,0,10,0,0,0,"Invertebrate","Ref_9","A","Carolina",0,0,0,80,20,0,0,0,"Ref_9",1,"Jessica",0,10,"Dunning08",1,"","",NA,"neotrop","hover/glean","insectivore","Insectivore: air hawker under canopy"
"Empidonax","hammondii","Hammond's Flycatcher",4680,"Empidonax hammondii",6043,"Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",105,"BL3","Hammond's Flycatcher",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_9","A","Carolina",0,0,33,33,33,0,0,0,"Ref_9",1,"Jessica",0,10.44,"Dunning08",1,"","",NA,"neotrop","hawks","insectivore","Insectivore: air hawker under canopy"
"Empidonax","wrightii","Gray Flycatcher",4691,"Empidonax wrightii",6044,"Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",105,"BL3","Grey Flycatcher",90,0,0,0,0,0,10,0,0,0,"Invertebrate","Ref_9","A","Carolina",0,0,50,50,0,0,0,0,"Ref_9",1,"Jessica",0,12.3,"Dunning08",1,"","",NA,"neotrop","hawks","insectivore","Insectivore: air hawker under canopy"
"Empidonax","oberholseri","Dusky Flycatcher",4690,"Empidonax oberholseri",6045,"Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",105,"BL3","American Dusky Flycatcher",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_9","A","Carolina",0,0,20,80,0,0,0,0,"Ref_9",1,"Jessica",0,10.4,"Dunning08",1,"","",NA,"neotrop","hawks","insectivore","Insectivore: air hawker under canopy"
"Empidonax","difficilis","Pacific-slope Flycatcher",4641,"Empidonax difficilis",6047,"Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",105,"BL3","Pacific-slope Flycatcher",90,0,0,0,0,0,10,0,0,0,"Invertebrate","Ref_9","A","Carolina",0,0,0,30,70,0,0,0,"Ref_9",1,"Jessica",0,10.7,"Dunning08",1,"","",NA,"neotrop","hawks","insectivore","Insectivore: air hawker under canopy"
"Empidonax","occidentalis","Cordilleran Flycatcher",4640,"Empidonax occidentalis",6048,"Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",105,"BL3","Cordilleran Flycatcher",90,0,0,0,0,0,10,0,0,0,"Invertebrate","Ref_9","A","Carolina",0,0,30,30,40,0,0,0,"Ref_9",1,"Jessica",0,11.6,"Dunning08",1,"","",NA,"neotrop","hawks","insectivore","Insectivore: air hawker under canopy"
"Empidonax","fulvifrons","Buff-breasted Flycatcher",4700,"Empidonax fulvifrons",6050,"Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",105,"BL3","Buff-breasted Flycatcher",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_9","A","Carolina",0,0,0,30,60,10,0,0,"Ref_9",1,"Jessica",0,7.9,"Dunning08",1,"","",NA,"neotrop","hawks","insectivore","Insectivore: air hawker under canopy"
"Sayornis","nigricans","Black Phoebe",4580,"Sayornis nigricans",6054,"Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",105,"BL3","Black Phoebe",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_9","A","Carolina",0,0,0,80,20,0,0,0,"Ref_9",1,"Jessica",0,18.63,"Dunning08",1,"","",NA,"resid","hawks","insectivore","Insectivore: air hawker under canopy"
"Sayornis","phoebe","Eastern Phoebe",4560,"Sayornis phoebe",6052,"Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",105,"BL3","Eastern Phoebe",90,0,0,0,0,0,10,0,0,0,"Invertebrate","Ref_9","A","Carolina",0,0,0,50,50,0,0,0,"Ref_9",1,"Jessica",0,19.7,"Dunning08",1,"","",NA,"short","hawks","insectivore","Insectivore: air hawker under canopy"
"Sayornis","saya","Say's Phoebe",4570,"Sayornis saya",6053,"Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",105,"BL3","Say's Phoebe",90,0,0,0,0,0,10,0,0,0,"Invertebrate","Ref_9","A","Carolina",0,0,50,50,0,0,0,0,"Ref_9",1,"Jessica",0,20.9,"Dunning08",1,"","",NA,"short","hawks","insectivore","Insectivore: air hawker under canopy"
"Pyrocephalus","rubinus","Vermilion Flycatcher",4710,"Pyrocephalus rubinus",6058,"Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",105,"BL3","Vermilion Flycatcher",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_9","A","Carolina",0,0,0,50,50,0,0,0,"Ref_9",1,"Jessica",0,14.4,"Dunning08",1,"","",NA,"neotrop","hawks","insectivore","Insectivore: air hawker under canopy"
"Myiarchus","tuberculifer","Dusky-capped Flycatcher",4550,"Myiarchus tuberculifer",6156,"Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",105,"BL3","Dusky-capped Flycatcher",80,0,0,0,0,0,10,0,10,0,"Invertebrate","Ref_9","A","Carolina",0,0,0,33,33,33,0,0,"Ref_9",1,"Jessica",0,17.7,"Dunning08",1,"","",NA,NA,NA,NA,"Insectivore: air hawker under canopy"
"Myiarchus","cinerascens","Ash-throated Flycatcher",4540,"Myiarchus cinerascens",6166,"Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",105,"BL3","Ash-throated Flycatcher",70,0,10,0,0,0,20,0,0,0,"Invertebrate","Ref_9","A","Carolina",0,0,0,70,30,0,0,0,"Ref_9",1,"Jessica",0,28.2,"Dunning08",1,"","",NA,"neotrop","hover/glean","insectivore","Insectivore: air hawker under canopy"
"Myiarchus","crinitus","Great Crested Flycatcher",4520,"Myiarchus crinitus",6168,"Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",105,"BL3","Great Crested Flycatcher",60,0,0,0,0,0,40,0,0,0,"Invertebrate","Ref_9","A","Carolina",0,0,100,0,0,0,0,0,"Ref_9",1,"Jessica",0,32.1,"Dunning08",1,"","",NA,"neotrop","hawks","insectivore","Insectivore: air hawker under canopy"
"Myiarchus","tyrannulus","Brown-crested Flycatcher",4530,"Myiarchus tyrannulus",6169,"Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",105,"BL3","Brown-crested Flycatcher",70,0,10,0,0,0,20,0,0,0,"Invertebrate","Ref_9","A","Carolina",0,0,20,80,0,0,0,0,"Ref_9",1,"Jessica",0,35.45,"Dunning08",1,"","",NA,"short","hover/glean","insectivore","Insectivore: air hawker under canopy"
"Pitangus","sulphuratus","Great Kiskadee",4490,"Pitangus sulphuratus",6219,"Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",105,"BL3","Great Kiskadee",40,10,10,10,0,0,30,0,0,0,"Omnivore","Ref_9","A","Carolina",0,0,50,40,10,0,0,0,"Ref_9",1,"Walter",0,62.85,"Dunning08",1,"","",NA,NA,NA,NA,"Insectivore: upper canopy foliage gleaner"
"Myiodynastes","luteiventris","Sulphur-bellied Flycatcher",4510,"Myiodynastes luteiventris",6212,"Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",105,"BL3","Sulphur-bellied Flycatcher",40,0,0,0,0,0,30,0,30,0,"Omnivore","Ref_9","A","Carolina",0,0,0,0,0,50,50,0,"Ref_9",1,"Jessica",0,46.9,"Dunning08",1,"","",NA,NA,NA,NA,"Insectivore: air hawker under canopy"
"Tyrannus","melancholicus","Tropical Kingbird",4460,"Tyrannus melancholicus",6187,"Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",105,"BL3","Tropical Kingbird",100,0,0,0,0,0,0,0,0,0,"Invertebrate","Ref_9","A","Carolina",0,0,0,0,50,50,0,0,"Ref_9",1,"Jessica",0,37.4,"Dunning08",1,"","",NA,NA,NA,NA,"Insectivore: air hawker under canopy"
"Tyrannus","couchii","Couch's Kingbird",4461,"Tyrannus couchii",6189,"Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",105,"BL3","Couch's Kingbird",80,0,0,0,0,0,20,0,0,0,"Invertebrate","Ref_9","A","Carolina",0,0,0,0,100,0,0,0,"Ref_9",1,"Jessica",0,39,"Dunning08",1,"","",NA,NA,NA,NA,"Insectivore: air hawker under canopy"
"Tyrannus","vociferans","Cassin's Kingbird",4480,"Tyrannus vociferans",6190,"Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",105,"BL3","Cassin's Kingbird",80,10,0,0,0,0,10,0,0,0,"Invertebrate","Ref_9","A","Carolina",0,0,0,20,80,0,0,0,"Ref_9",1,"Jessica",0,45.6,"Dunning08",1,"","",NA,"neotrop","hawks","insectivore","Insectivore: air hawker under canopy"
"Tyrannus","crassirostris","Thick-billed Kingbird",4451,"Tyrannus crassirostris",6191,"Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",105,"BL3","Thick-billed Kingbird",80,0,0,0,0,0,0,0,20,0,"Invertebrate","Ref_9","B","Carolina",0,0,0,0,40,30,30,0,"Ref_9",1,"Jessica",0,55.89,"Dunning08",1,"","",NA,NA,NA,NA,"Insectivore: air hawker under canopy"
"Tyrannus","verticalis","Western Kingbird",4470,"Tyrannus verticalis",6192,"Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",105,"BL3","Western Kingbird",90,0,0,0,0,0,10,0,0,0,"Invertebrate","Ref_9","A","Carolina",0,0,30,30,40,0,0,0,"Ref_9",1,"Jessica",0,39.6,"Dunning08",1,"","",NA,"neotrop","hawks","insectivore","Insectivore: air hawker under canopy"
"Tyrannus","tyrannus","Eastern Kingbird",4440,"Tyrannus tyrannus",6195,"Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",105,"BL3","Eastern Kingbird",70,0,10,0,0,0,10,0,10,0,"Invertebrate","Ref_9","A","Carolina",0,0,0,80,20,0,0,0,"Ref_9",1,"Jessica",0,39.85,"Dunning08",1,"","",NA,"neotrop","hawks","insectivore","Insectivore: air hawker under canopy"
"Tyrannus","dominicensis","Gray Kingbird",4450,"Tyrannus dominicensis",6196,"Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",105,"BL3","Grey Kingbird",60,0,10,0,0,0,30,0,0,0,"Invertebrate","Ref_9","A","Carolina",0,0,40,30,30,0,0,0,"Ref_9",1,"Jessica",0,46.5,"Dunning08",1,"","",NA,"neotrop","hawks","insectivore","Insectivore: air hawker under canopy"
"Tyrannus","forficatus","Scissor-tailed Flycatcher",4430,"Tyrannus forficatus",6193,"Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",105,"BL3","Scissor-tailed Flycatcher",60,0,0,0,0,0,20,0,20,0,"Invertebrate","Ref_9","A","Carolina",0,0,20,20,60,0,0,0,"Ref_9",1,"Jessica",0,39.3,"Dunning08",1,"","",NA,"neotrop","hawks","insectivore","Insectivore: air hawker under canopy"
"Tyrannus","savana","Fork-tailed Flycatcher",4420,"Tyrannus savana",6194,"Passeriformes","Passeriformes","Tyrannidae","Tyrant-flycatchers",105,"BL3","Fork-tailed Flycatcher",70,0,0,0,0,0,30,0,0,0,"Invertebrate","Ref_9","A","Carolina",0,0,50,50,0,0,0,0,"Ref_9",1,"Jessica",0,31.9,"Dunning08",1,"","",NA,NA,NA,NA,"Insectivore: air hawker under canopy"
"Lanius","ludovicianus","Loggerhead Shrike",6220,"Lanius ludovicianus",7719,"Passeriformes","Passeriformes","Laniidae","Shrikes",140,"BL3","Loggerhead Shrike",70,10,10,0,0,10,0,0,0,0,"Invertebrate","Ref_13","A","Carolina",0,0,80,10,10,0,0,0,"Ref_34",1,"Jessica",0,51.59,"Dunning08",1,"","",NA,"short","swoops","insectivore","Insectivore: ground gleaner"
