"genus","species","english_common_name","aou","binomial","SpecID","PassNonPass","IOCOrder","BLFamilyLatin","BLFamilyEnglish","BLFamSequID","Taxo","English","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.5Cat","Diet.Source","Diet.Certainty","Diet.EnteredBy","ForStrat.watbelowsurf","ForStrat.wataroundsurf","ForStrat.ground","ForStrat.understory","ForStrat.midhigh","ForStrat.canopy","ForStrat.aerial","PelagicSpecialist","ForStrat.Source","ForStrat.SpecLevel","ForStrat.EnteredBy","Nocturnal","BodyMass.Value","BodyMass.Source","BodyMass.SpecLevel","BodyMass.Comment","Record.Comment","Scientific","migclass","Foraging","Coarse.trophic","Trophic.guild"
"Centrocercus","minimus","Gunnison Sage-Grouse",3089,"Centrocercus minimus",19812,"Nonpasseriformes","Galliformes","Phasianidae","Grouse, pheasants and partridges",11,"BL3","Gunnison Sage-grouse",10,0,0,0,0,0,0,0,0,90,"PlantSeed","Ref_2","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_2",1,"Jessica",0,1902.46,"Dunning08",1,"","DataFromSplit",NA,NA,NA,NA,NA
"Lagopus","lagopus","Willow Ptarmigan",3010,"Lagopus lagopus",423,"Nonpasseriformes","Galliformes","Phasianidae","Grouse, pheasants and partridges",11,"BL3","Willow Ptarmigan",0,0,0,0,0,0,10,0,0,90,"PlantSeed","Ref_2","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_2",1,"Jessica",0,566.86,"Dunning08",1,"","",NA,"resid","ground glean","herbivore","Herbivores: ground forager"
"Lagopus","muta","Rock Ptarmigan",3020,"Lagopus muta",426,"Nonpasseriformes","Galliformes","Phasianidae","Grouse, pheasants and partridges",11,"BL3","Rock Ptarmigan",0,0,0,0,0,0,20,0,10,70,"PlantSeed","Ref_2","A","Jennifer",0,0,80,20,0,0,0,0,"Ref_2",1,"Jessica",0,535.3,"Dunning08",1,"","",NA,"short","ground glean","herbivore","Herbivores: ground forager"
"Lagopus","leucura","White-tailed Ptarmigan",3040,"Lagopus leucura",427,"Nonpasseriformes","Galliformes","Phasianidae","Grouse, pheasants and partridges",11,"BL3","White-tailed Ptarmigan",0,0,0,0,0,0,0,0,0,100,"PlantSeed","Ref_2","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_2",1,"Jessica",0,354.97,"Dunning08",1,"","",NA,"resid","ground glean","herbivore","Herbivores: ground forager"
"Dendragapus","obscurus","Dusky Grouse",2970,"Dendragapus obscurus",420,"Nonpasseriformes","Galliformes","Phasianidae","Grouse, pheasants and partridges",11,"BL3","Dusky Grouse",0,0,0,0,0,0,20,0,0,80,"PlantSeed","Ref_2","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_2",1,"Jessica",0,1047.31,"Dunning08",1,"","",NA,"resid","ground glean","herbivore","Herbivores: ground forager"
"Dendragapus","fuliginosus","Sooty Grouse",2971,"Dendragapus fuliginosus",19811,"Nonpasseriformes","Galliformes","Phasianidae","Grouse, pheasants and partridges",11,"BL3","Sooty Grouse",0,0,0,0,0,0,20,0,0,80,"PlantSeed","Ref_2","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_2",1,"Jessica",0,1047.31,"Dunning08",1,"","DataFromSplit",NA,NA,NA,NA,NA
"Tympanuchus","phasianellus","Sharp-tailed Grouse",3080,"Tympanuchus phasianellus",436,"Nonpasseriformes","Galliformes","Phasianidae","Grouse, pheasants and partridges",11,"BL3","Sharp-tailed Grouse",10,0,0,0,0,0,10,0,10,70,"PlantSeed","Ref_2","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_2",1,"Jessica",0,882.38,"Dunning08",1,"","",NA,"resid","ground glean","herbivore","Granivore: ground to undergrowth gleaner"
"Tympanuchus","cupido","Greater Prairie-Chicken",3050,"Tympanuchus cupido",437,"Nonpasseriformes","Galliformes","Phasianidae","Grouse, pheasants and partridges",11,"BL3","Greater Prairie-chicken",20,0,0,0,0,0,10,0,50,20,"PlantSeed","Ref_2","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_2",1,"Jessica",0,870.08,"Dunning08",1,"","",NA,"resid","ground glean","granivore","Granivore: ground to undergrowth gleaner"
"Tympanuchus","pallidicinctus","Lesser Prairie-Chicken",3070,"Tympanuchus pallidicinctus",438,"Nonpasseriformes","Galliformes","Phasianidae","Grouse, pheasants and partridges",11,"BL3","Lesser Prairie-chicken",60,0,0,0,0,0,0,0,0,40,"Invertebrate","Ref_2","A","Jennifer",0,0,60,20,20,0,0,0,"Ref_2",1,"Jessica",0,745.82,"Dunning08",1,"","",NA,"resid","ground glean","insectivore","Granivore: ground to undergrowth gleaner"
"Meleagris","gallopavo","Wild Turkey",3100,"Meleagris gallopavo",439,"Nonpasseriformes","Galliformes","Phasianidae","Grouse, pheasants and partridges",11,"BL3","Wild Turkey",20,0,0,0,0,0,20,0,20,40,"PlantSeed","Ref_2","A","Jennifer",0,0,90,10,0,0,0,0,"Ref_2",1,"Other",0,5791.37,"Dunning08",1,"","",NA,"resid","ground glean","omnivore","Herbivores: ground forager"
"Columba","livia","Rock Pigeon",3131,"Columba livia",3315,"Nonpasseriformes","Columbiformes","Columbidae","Doves and pigeons",65,"BL3","Rock Pigeon",10,0,0,0,0,0,0,0,60,30,"PlantSeed","Ref_4","A","Carolina",0,0,80,20,0,0,0,0,"Ref_4",1,"Jessica",0,354.2,"Dunning08",1,"","",NA,"resid","ground glean","granivore",NA
"Patagioenas","leucocephala","White-crowned Pigeon",3140,"Patagioenas leucocephala",3349,"Nonpasseriformes","Columbiformes","Columbidae","Doves and pigeons",65,"BL3","White-crowned Pigeon",0,0,0,0,0,0,70,0,0,30,"FruiNect","Ref_4","A","Carolina",0,0,20,20,40,20,0,0,"Ref_4",1,"Jessica",0,240.14,"Dunning08",1,"","",NA,NA,NA,NA,"Frugivore: ground to lower canopy gleaner"
"Patagioenas","flavirostris","Red-billed Pigeon",3130,"Patagioenas flavirostris",3361,"Nonpasseriformes","Columbiformes","Columbidae","Doves and pigeons",65,"BL3","Red-billed Pigeon",0,0,0,0,0,0,60,0,0,40,"FruiNect","Ref_4","A","Carolina",0,0,10,30,30,30,0,0,"Ref_4",1,"Other",0,270.81,"Dunning08",1,"","",NA,NA,NA,NA,"Frugivore: ground to lower canopy gleaner"
"Patagioenas","fasciata","Band-tailed Pigeon",3120,"Patagioenas fasciata",3355,"Nonpasseriformes","Columbiformes","Columbidae","Doves and pigeons",65,"BL3","Band-tailed Pigeon",0,0,0,0,0,0,0,0,70,30,"PlantSeed","Ref_4","A","Carolina",0,0,0,50,50,0,0,0,"Ref_4",1,"Jessica",0,366.3,"Dunning08",1,"","",NA,"neotrop","foliage glean","granivore","Granivore: ground to undergrowth gleaner"
"Streptopelia","roseogrisea","African Collared-Dove (a.k.a. Ringed Turtle-Dove)",3152,"Streptopelia roseogrisea",3392,"Nonpasseriformes","Columbiformes","Columbidae","Doves and pigeons",65,"BL3","African Collared-dove",10,0,0,0,0,0,0,0,70,20,"PlantSeed","Ref_4","A","Carolina",0,0,100,0,0,0,0,0,"Ref_4",1,"Jessica",0,155,"Dunning08",1,"","",NA,NA,NA,NA,NA
"Streptopelia","decaocto","Eurasian Collared-Dove",22860,"Streptopelia decaocto",3391,"Nonpasseriformes","Columbiformes","Columbidae","Doves and pigeons",65,"BL3","Eurasian Collared-dove",10,0,0,0,0,0,30,0,40,20,"PlantSeed","Ref_4","A","Carolina",0,0,80,10,10,0,0,0,"Ref_4",1,"Jessica",0,148.96,"Dunning08",1,"","",NA,"resid","ground glean","granivore",NA
