"aou","max_lat_t1","max_lon_t1","min_lat_t1","min_lon_t1","total_cells_t1","area_t1","outlier_t1","outlier_denom_t1","max_lat_t2","max_lon_t2","min_lat_t2","min_lon_t2","total_cells_t2","area_t2","outlier_t2","outlier_denom_t2","file","spp_name","file_binomial","english_common_name","family","genus","species","binomial","old_genus","new_binomial","matched_filename","species_code","overlap","overlap_cells","delta_area","delta_occ"
4880,54,-62,27,-129,322,4972173800478.28,NA,NA,54,-62,27,-129,327,4668179545468.74,NA,NA,"Corvus_brachyrhynchos_22705990.shp","Corvus_brachyrhynchos","Corvus brachyrhynchos","American Crow","Corvidae","Corvus","brachyrhynchos","Corvus brachyrhynchos",NA,NA,"Corvus_brachyrhynchos","amecro",0.766283328250926,646,-0.0611391047875862,0.00773993808049536
4950,53,-62,27,-124,350,6349299825376.3,NA,NA,54,-69,26,-124,331,6140345735144.48,NA,NA,"Molothrus_ater_22724354.shp","Molothrus_ater","Molothrus ater","Brown-headed Cowbird","Icteridae","Molothrus","ater","Molothrus ater",NA,NA,"Molothrus_ater","bnhcow",0.788765425648726,916,-0.0329097846973129,-0.0207423580786026
7610,54,-62,31,-129,314,4199772176265.66,NA,NA,54,-62,31,-129,309,5204663624110,NA,NA,"Turdus_migratorius_22708958.shp","Turdus_migratorius","Turdus migratorius","American Robin","Turdidae","Turdus","migratorius","Turdus migratorius",NA,NA,"Turdus_migratorius","amerob",0.558527695636409,1035,0.239272847590001,-0.00483091787439614
5290,53,-62,32,-124,250,3510016716185.26,NA,NA,54,-62,33,-124,257,3910854540334.73,NA,NA,"Carduelis_tristis_22720407.shp","Carduelis_tristis","Carduelis tristis","American Goldfinch","Fringillidae","Spinus","tristis","Spinus tristis","Carduelis","Carduelis tristis","Carduelis_tristis","amegfi",0.897678464601425,1084,0.114198266435925,0.00645756457564576
7290,38,-76,28,-96,34,309818098835.49,NA,NA,38,-76,30,-96,19,413174532958.564,NA,NA,"Sitta_pusilla_22711173.shp","Sitta_pusilla","Sitta pusilla","Brown-headed Nuthatch","Sittidae","Sitta","pusilla","Sitta pusilla",NA,NA,"Sitta_pusilla","bnhnut",0.992630459412332,56,0.333603603248353,-0.267857142857143
5011,52,-82,30,-124,133,3436135548750.63,NA,NA,54,-89,33,-124,106,2798211905149.98,NA,NA,"Sturnella_neglecta_22724256.shp","Sturnella_neglecta","Sturnella neglecta","Western Meadowlark","Icteridae","Sturnella","neglecta","Sturnella neglecta",NA,NA,"Sturnella_neglecta","wesmea",0.821873842639749,421,-0.185651478106736,-0.0641330166270784
5080,49,-98,27,-124,40,2458782031935.21,NA,NA,48,-98,27,-124,40,2192224014297.53,NA,NA,"Icterus_bullockii_22729123.shp","Icterus_bullockii","Icterus bullockii","Bullock's Oriole","Icteridae","Icterus","bullockii","Icterus bullockii",NA,NA,"Icterus_bullockii","bulori",0.652095977861696,233,-0.108410592795767,0
