file,spp_name,binomial,species_id,aou,english_common_name,french_common_name,spanish_common_name,sporder,family,genus,species,old_genus
NA,NA,Geothlypis tolmiei,1271,6800,MacGillivray's Warbler,Paruline des buissons,Geothlypis tolmiei,Passeriformes,Parulidae,Geothlypis,tolmiei,oporornis
NA,NA,Geothlypis philadelphia,1272,6790,Mourning Warbler,Paruline triste,Geothlypis philadelphia,Passeriformes,Parulidae,Geothlypis,philadelphia,oporornis
NA,NA,Geothlypis formosa,1273,6770,Kentucky Warbler,Paruline du Kentucky,Geothlypis formosa,Passeriformes,Parulidae,Geothlypis,formosa,oporornis
NA,NA,Setophaga citrina,1279,6840,Hooded Warbler,Paruline à capuchon,Setophaga citrina,Passeriformes,Parulidae,Setophaga,citrina,Wilsonia
NA,NA,Setophaga kirtlandii,1281,6700,Kirtland's Warbler,Paruline de Kirtland,Setophaga kirtlandii,Passeriformes,Parulidae,Setophaga,kirtlandii,Dendroica
NA,NA,Setophaga tigrina,1282,6500,Cape May Warbler,Paruline tigrée,Setophaga tigrina,Passeriformes,Parulidae,Setophaga,tigrina,Dendroica
NA,NA,Setophaga cerulea,1283,6580,Cerulean Warbler,Paruline azurée,Setophaga cerulea,Passeriformes,Parulidae,Setophaga,cerulea,Dendroica
NA,NA,Setophaga americana,1284,6480,Northern Parula,Paruline à collier,Setophaga americana,Passeriformes,Parulidae,Setophaga,americana,Parula
NA,NA,Setophaga pitiayumi,1285,6490,Tropical Parula,Paruline à joues noires,Setophaga pitiayumi,Passeriformes,Parulidae,Setophaga,pitiayumi,Parula
NA,NA,Setophaga magnolia,1286,6570,Magnolia Warbler,Paruline à tête cendrée,Setophaga magnolia,Passeriformes,Parulidae,Setophaga,magnolia,Dendroica
NA,NA,Setophaga castanea,1287,6600,Bay-breasted Warbler,Paruline à poitrine baie,Setophaga castanea,Passeriformes,Parulidae,Setophaga,castanea,Dendroica
NA,NA,Setophaga fusca,1288,6620,Blackburnian Warbler,Paruline à gorge orangée,Setophaga fusca,Passeriformes,Parulidae,Setophaga,fusca,Dendroica
NA,NA,Setophaga petechia,1289,6520,Yellow Warbler,Paruline jaune,Setophaga petechia,Passeriformes,Parulidae,Setophaga,petechia,Dendroica
NA,NA,Setophaga pensylvanica,1290,6590,Chestnut-sided Warbler,Paruline à flancs marron,Setophaga pensylvanica,Passeriformes,Parulidae,Setophaga,pensylvanica,Dendroica
NA,NA,Setophaga striata,1291,6610,Blackpoll Warbler,Paruline rayée,Setophaga striata,Passeriformes,Parulidae,Setophaga,striata,Dendroica
NA,NA,Setophaga caerulescens,1292,6540,Black-throated Blue Warbler,Paruline bleue,Setophaga caerulescens,Passeriformes,Parulidae,Setophaga,caerulescens,Dendroica
NA,NA,Setophaga palmarum,1293,6720,Palm Warbler,Paruline à couronne rousse,Setophaga palmarum,Passeriformes,Parulidae,Setophaga,palmarum,Dendroica
NA,NA,Setophaga pinus,1294,6710,Pine Warbler,Paruline des pins,Setophaga pinus,Passeriformes,Parulidae,Setophaga,pinus,Dendroica
NA,NA,Setophaga dominica,1298,6630,Yellow-throated Warbler,Paruline à gorge jaune,Setophaga dominica,Passeriformes,Parulidae,Setophaga,dominica,Dendroica
NA,NA,Setophaga discolor,1299,6730,Prairie Warbler,Paruline des prés,Setophaga discolor,Passeriformes,Parulidae,Setophaga,discolor,Dendroica
NA,NA,Setophaga graciae,1300,6640,Grace's Warbler,Paruline de Grace,Setophaga graciae,Passeriformes,Parulidae,Setophaga,graciae,Dendroica
NA,NA,Setophaga nigrescens,1301,6650,Black-throated Gray Warbler,Paruline grise,Setophaga nigrescens,Passeriformes,Parulidae,Setophaga,nigrescens,Dendroica
NA,NA,Setophaga townsendi,1302,6680,Townsend's Warbler,Paruline de Townsend,Setophaga townsendi,Passeriformes,Parulidae,Setophaga,townsendi,Dendroica
NA,NA,Setophaga occidentalis,1303,6690,Hermit Warbler,Paruline à tête jaune,Setophaga occidentalis,Passeriformes,Parulidae,Setophaga,occidentalis,Dendroica
NA,NA,Setophaga chrysoparia,1306,6660,Golden-cheeked Warbler,Paruline à dos noir,Setophaga chrysoparia,Passeriformes,Parulidae,Setophaga,chrysoparia,Dendroica
NA,NA,Setophaga virens,1307,6670,Black-throated Green Warbler,Paruline à gorge noire,Setophaga virens,Passeriformes,Parulidae,Setophaga,virens,Dendroica
NA,NA,Cardellina canadensis,1312,6860,Canada Warbler,Paruline du Canada,Cardellina canadensis,Passeriformes,Parulidae,Cardellina,canadensis,Wilsonia
NA,NA,Cardellina pusilla,1313,6850,Wilson's Warbler,Paruline à calotte noire,Cardellina pusilla,Passeriformes,Parulidae,Cardellina,pusilla,Wilsonia
NA,NA,Melozone fusca,1367,5910,Canyon Towhee,Tohi des canyons,Melozone fusca,Passeriformes,Emberizidae,Melozone,fusca,NA
NA,NA,Spizelloides arborea,1380,5590,American Tree Sparrow,Bruant hudsonien,Spizelloides arborea,Passeriformes,Emberizidae,Spizelloides,arborea,Spizella
NA,NA,Artemisiospiza nevadensis,1391,5738,Sagebrush Sparrow,Bruant des armoises,Artemisiospiza nevadensis,Passeriformes,Emberizidae,Artemisiospiza,nevadensis,NA
NA,NA,Artemisiospiza belli,1392,5739,Bell's Sparrow,Bruant de Bell,Artemisiospiza belli,Passeriformes,Emberizidae,Artemisiospiza,belli,Amphispiza
