"","aou","max_lat_t1","max_lon_t1","min_lat_t1","min_lon_t1","total_cells_t1","area_t1","outlier_t1","outlier_denom_t1","max_lat_t2","max_lon_t2","min_lat_t2","min_lon_t2","total_cells_t2","area_t2","outlier_t2","outlier_denom_t2","file","spp_name","file_binomial","english_common_name","family","genus","species","binomial","old_genus","new_binomial","matched_filename","species_code","overlap","overlap_cells","delta_area","delta_occ"
"18",3930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Leuconotopicus_villosus_22681166.shp","Leuconotopicus_villosus","Leuconotopicus villosus","Hairy Woodpecker","Picidae","Picoides","villosus","Picoides villosus","Leuconotopicus","Leuconotopicus villosus","Leuconotopicus_villosus",NA,0.647823540429967,666,NA,NA
"19",6740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seiurus_aurocapilla_22721779.shp","Seiurus_aurocapilla","Seiurus aurocapilla","Ovenbird","Parulidae","Seiurus","aurocapilla","Seiurus aurocapilla",NA,NA,"Seiurus_aurocapilla","ovenbi1",0.661664543696424,719,NA,NA
"20",6360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mniotilta_varia_22721758.shp","Mniotilta_varia","Mniotilta varia","Black-and-white Warbler","Parulidae","Mniotilta","varia","Mniotilta varia",NA,NA,"Mniotilta_varia","bawwar",0.582508114226756,745,NA,NA
"21",5070,53,-65,30,-113,195,3157426399889.27,168455164569.652,4554788297158.86,NA,NA,NA,NA,NA,NA,NA,NA,"Icterus_galbula_22724126.shp","Icterus_galbula","Icterus galbula","Baltimore Oriole","Icteridae","Icterus","galbula","Icterus galbula",NA,NA,"Icterus_galbula","balori",0.650881750512744,357,NA,NA
"22",6870,NA,NA,NA,NA,NA,NA,NA,NA,54,-62,31,-129,97,2608423958010.14,0.0013575553894043,4867238799535.71,"Setophaga_ruticilla_22721762.shp","Setophaga_ruticilla","Setophaga ruticilla","American Redstart","Parulidae","Setophaga","ruticilla","Setophaga ruticilla",NA,NA,"Setophaga_ruticilla","amered",0.547252208278255,754,NA,NA
"23",6380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Limnothlypis_swainsonii_22721776.shp","Limnothlypis_swainsonii","Limnothlypis swainsonii","Swainson's Warbler","Parulidae","Limnothlypis","swainsonii","Limnothlypis swainsonii",NA,NA,"Limnothlypis_swainsonii","swawar",0.709640849968728,194,NA,NA
"24",5750,NA,NA,NA,NA,NA,NA,NA,NA,31,-81,28,-85,5,35873098826.5948,35873098826.5965,1529267289295.39,"Peucaea_aestivalis_22721256.shp","Peucaea_aestivalis","Peucaea aestivalis","Bachman's Sparrow","Emberizidae","Peucaea","aestivalis","Peucaea aestivalis",NA,NA,"Peucaea_aestivalis","bacspa",0.980109483835044,61,NA,NA
"25",3000,53,-62,44,-113,6,1219388554654.58,0.00750582059845328,4281528468543.31,NA,NA,NA,NA,NA,NA,NA,NA,"Bonasa_umbellus_22679500.shp","Bonasa_umbellus","Bonasa umbellus","Ruffed Grouse","Phasianidae","Bonasa","umbellus","Bonasa umbellus",NA,NA,"Bonasa_umbellus",NA,0.530466305953772,135,NA,NA
"26",4670,53,-62,36,-113,93,4717618820106.5,6146595063514.14,37592171477979,NA,NA,NA,NA,NA,NA,NA,NA,"Empidonax_minimus_22699854.shp","Empidonax_minimus","Empidonax minimus","Least Flycatcher","Tyrannidae","Empidonax","minimus","Empidonax minimus",NA,NA,"Empidonax_minimus",NA,0.652630711276776,1494,NA,NA
"27",5580,NA,NA,NA,NA,NA,NA,NA,NA,54,-62,44,-115,41,1650319932077.5,1938758925003.39,10641473990548.2,"Zonotrichia_albicollis_22721085.shp","Zonotrichia_albicollis","Zonotrichia albicollis","White-throated Sparrow","Emberizidae","Zonotrichia","albicollis","Zonotrichia albicollis",NA,NA,"Zonotrichia_albicollis","whtspa",0.670615278290042,1278,NA,NA
"28",7590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Catharus_guttatus_22708667.shp","Catharus_guttatus","Catharus guttatus","Hermit Thrush","Turdidae","Catharus","guttatus","Catharus guttatus",NA,NA,"Catharus_guttatus","herthr",0.643000885344507,1271,NA,NA
"29",2950,34,-107,32,-114,4,67574946735.7895,81883610025.9724,986564534748.035,NA,NA,NA,NA,NA,NA,NA,NA,"Callipepla_gambelii_22679609.shp","Callipepla_gambelii","Callipepla gambelii","Gambel's Quail","Odontophoridae","Callipepla","gambelii","Callipepla gambelii",NA,NA,"Callipepla_gambelii",NA,0.803493794142906,4,NA,NA
"30",3850,NA,NA,NA,NA,NA,NA,NA,NA,37,-92,27,-114,30,1014920128223.9,0.00590181350708008,1924793871713.32,"Geococcyx_californianus_22684458.shp","Geococcyx_californianus","Geococcyx californianus","Greater Roadrunner","Cuculidae","Geococcyx","californianus","Geococcyx californianus",NA,NA,"Geococcyx_californianus",NA,0.639889556415823,66,NA,NA
"31",5120,NA,NA,NA,NA,NA,NA,NA,NA,40,-94,26,-122,27,15345450458052.9,16657632299933.9,84682971977487.1,"Quiscalus_mexicanus_22724308.shp","Quiscalus_mexicanus","Quiscalus mexicanus","Great-tailed Grackle","Icteridae","Quiscalus","mexicanus","Quiscalus mexicanus",NA,NA,"Quiscalus_mexicanus","grtgra",0.544399279519555,439,NA,NA
"32",7130,33,-97,26,-117,17,225199232694.48,0.00313389301300049,954301682790.31,NA,NA,NA,NA,NA,NA,NA,NA,"Campylorhynchus_brunneicapillus_22711287.shp","Campylorhynchus_brunneicapillus","Campylorhynchus brunneicapillus","Cactus Wren","Troglodytidae","Campylorhynchus","brunneicapillus","Campylorhynchus brunneicapillus",NA,NA,"Campylorhynchus_brunneicapillus","cacwre",0.516602835834503,23,NA,NA
"33",7460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Auriparus_flaviceps_22711568.shp","Auriparus_flaviceps","Auriparus flaviceps","Verdin","Remizidae","Auriparus","flaviceps","Auriparus flaviceps",NA,NA,"Auriparus_flaviceps","verdin",0.521385549716727,21,NA,NA
"34",4290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Archilochus_alexandri_22688196.shp","Archilochus_alexandri","Archilochus alexandri","Black-chinned Hummingbird","Trochilidae","Archilochus","alexandri","Archilochus alexandri",NA,NA,"Archilochus_alexandri",NA,0.671573649516779,164,NA,NA
"35",2930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Callipepla_squamata_22679594.shp","Callipepla_squamata","Callipepla squamata","Scaled Quail","Odontophoridae","Callipepla","squamata","Callipepla squamata",NA,NA,"Callipepla_squamata",NA,0.59623796202283,18,NA,NA
"36",4690,NA,NA,NA,NA,NA,NA,NA,NA,48,-104,39,-120,9,519040379354.196,0.0017085075378418,2413100095824.4,"Empidonax_oberholseri_22699864.shp","Empidonax_oberholseri","Empidonax oberholseri","Dusky Flycatcher","Tyrannidae","Empidonax","oberholseri","Empidonax oberholseri",NA,NA,"Empidonax_oberholseri",NA,0.674212273520567,60,NA,NA
"37",4780,54,-105,34,-129,12,1009186426249.82,0.00638943910598755,2395937898020.49,NA,NA,NA,NA,NA,NA,NA,NA,"Cyanocitta_stelleri_22705614.shp","Cyanocitta_stelleri","Cyanocitta stelleri","Steller's Jay","Corvidae","Cyanocitta","stelleri","Cyanocitta stelleri",NA,NA,"Cyanocitta_stelleri",NA,0.692311244220768,32,NA,NA
"38",6850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wilsonia_pusilla_22721879.shp","Wilsonia_pusilla","Wilsonia pusilla","Wilson's Warbler","Parulidae","Cardellina","pusilla","Cardellina pusilla","Wilsonia","Wilsonia pusilla","Wilsonia_pusilla","wlswar",0.537776126044101,963,NA,NA
