"file","spp_name","file_binomial","aou","english_common_name","family","genus","species","binomial","old_genus","new_binomial","matched_filename","species_code","climate_vol","ssi","shannonE_diet","mean_area","mean_occ","sd_area","sd_occ","Trend","ci95","area_wt","occ_wt","trend_wt","phylo_name"
"Sitta_carolinensis_22711202.shp","Sitta_carolinensis","Sitta carolinensis",7270,"White-breasted Nuthatch","Sittidae","Sitta","carolinensis","Sitta carolinensis",NA,NA,"Sitta_carolinensis","whbnut",1.95009842547892,-1.28369160336369,0.301029995663981,0.206669299740379,0.051052870777155,0.0699722901486172,0.00468523472085569,1.719,0.466,0.13714568869129,0.00918306005287714,0.466,"Sitta_carolinensis"
"Sitta_pusilla_22711173.shp","Sitta_pusilla","Sitta pusilla",7290,"Brown-headed Nuthatch","Sittidae","Sitta","pusilla","Sitta pusilla",NA,NA,"Sitta_pusilla","bnhnut",0.106123613785136,-1.79303983388761,0.292285253238629,0.198884229589268,-0.167765174739424,0.145042738942887,0.0291371840704559,-0.444,0.837,0.284283768328058,0.0571088807780936,0.837,"Sitta_pusilla"
"Salpinctes_obsoletus_22711332.shp","Salpinctes_obsoletus","Salpinctes obsoletus",7150,"Rock Wren","Troglodytidae","Salpinctes","obsoletus","Salpinctes obsoletus",NA,NA,"Salpinctes_obsoletus","rocwre",2.43875193418708,-1.49634519673542,0.217322011273649,0.327955964386199,-0.00416393442622951,0.0392737133402985,0.0041019400250443,-1.529,1.018,0.076976478146985,0.00803980244908682,1.018,"Salpinctes_obsoletus"
"Troglodytes_hiemalis_22714246.shp","Troglodytes_hiemalis","Troglodytes hiemalis",7222,"Winter Wren","Troglodytidae","Troglodytes","hiemalis","Troglodytes hiemalis",NA,NA,"Troglodytes_hiemalis","winwre3",0.272631986603244,-1.26692908842839,NA,0.302283399463315,0.00824296983336743,0.374906711049089,0.00168089714013659,0.707,1.615,0.734817153656215,0.00329455839466773,1.615,"Troglodytes_troglodytes"
"Cistothorus_palustris_22711374.shp","Cistothorus_palustris","Cistothorus palustris",7250,"Marsh Wren","Troglodytidae","Cistothorus","palustris","Cistothorus palustris",NA,NA,"Cistothorus_palustris","marwre",1.09529768320215,-1.64841436498679,0,-0.287064141045065,-0.00190750063858013,0.315250796368182,0.00243218010818742,1.953,1.537,0.617891560881636,0.00476707301204734,1.537,"Cistothorus_palustris"
"Thryothorus_ludovicianus_22711450.shp","Thryothorus_ludovicianus","Thryothorus ludovicianus",7180,"Carolina Wren","Troglodytidae","Thryothorus","ludovicianus","Thryothorus ludovicianus",NA,NA,"Thryothorus_ludovicianus","carwre",0.469575342728183,-1.24064962955123,0.472903250637018,0.264558791258491,0.21679753820034,0.0838596342811071,0.0189231406851968,1.2,0.356,0.16436488319097,0.0370893557429857,0.356,"Thryothorus_ludovicianus"
"Thryomanes_bewickii_22711377.shp","Thryomanes_bewickii","Thryomanes bewickii",7190,"Bewick's Wren","Troglodytidae","Thryomanes","bewickii","Thryomanes bewickii",NA,NA,"Thryomanes_bewickii","bewwre",1.80777419029867,-1.57144748825916,0.217322011273649,-0.187933271156178,-0.0532,0.0452140785314459,0.0110818025299833,-0.803,1.048,0.0886195939216341,0.0217203329587672,1.048,"Thryomanes_bewickii"
"Campylorhynchus_brunneicapillus_22711287.shp","Campylorhynchus_brunneicapillus","Campylorhynchus brunneicapillus",7130,"Cactus Wren","Troglodytidae","Campylorhynchus","brunneicapillus","Campylorhynchus brunneicapillus",NA,NA,"Campylorhynchus_brunneicapillus","cacwre",1.4516680258073,-2.48752452564256,0.348225372857224,-0.0347097398409931,-0.256608695652174,0.191169267647752,0.0307867473757714,-1.67,1.622,0.374691764589595,0.0603420248565119,1.622,"Campylorhynchus_brunneicapillus"
"Polioptila_caerulea_22711581.shp","Polioptila_caerulea","Polioptila caerulea",7510,"Blue-gray Gnatcatcher","Polioptilidae","Polioptila","caerulea","Polioptila caerulea",NA,NA,"Polioptila_caerulea","buggna",1.96245052679455,-0.966212471124368,0,0.405850003851728,0.118754060545007,0.237066076912666,0.0148581244608662,0.223,0.452,0.464649510748825,0.0291219239432977,0.452,"Polioptila_caerulea"
"Regulus_satrapa_22712594.shp","Regulus_satrapa","Regulus satrapa",7480,"Golden-crowned Kinglet","Regulidae","Regulus","satrapa","Regulus satrapa",NA,NA,"Regulus_satrapa","gockin",1.28220870432579,-1.15228772789403,0,0.603832001923023,0.00740577996920253,0.305186604913246,0.00149027872239754,-0.688,1.354,0.598165745629962,0.00292094629589918,1.354,"Regulus_satrapa"
