"concav","delta_area","aou"
2,-0.0998514341549938,2890
2,0.0799922792980788,2930
2,0.0497363677262899,2940
2,NA,2950
2,-0.0369740072545975,3000
2,10.8968560793078,3100
2,-0.623525940018633,3120
2,0.0229451481314979,3160
2,0.343804350654535,3850
2,-0.514893474631864,3880
2,NA,3930
2,0.646082849314156,3940
2,0.799830050082543,4020
2,0.45357751312162,4021
2,1.25743187569789,4030
2,2.61472831811513,4050
2,NA,4060
2,1.42478690713205,4090
2,NA,4120
2,-0.0628899825235811,4230
2,2.29612829244585,4250
2,-0.0367860191276563,4280
2,3.05594799709895,4290
2,0.307750469622489,4430
2,0.00511709040656404,4470
2,0.0099956455887161,4520
2,0.212562603350175,4540
2,NA,4560
2,-0.0426229722069345,4570
2,-0.144398566800329,4630
2,0.104163546802949,4640
2,-0.301449539763772,4641
2,-0.0243765228181423,4650
2,-0.0208082934187257,4660
2,-0.20818186111359,4670
2,0.0694874242291662,4680
2,-0.434968779852767,4690
2,NA,4770
2,-0.230563588248311,4780
2,0.0373170363087295,4880
2,2.62791553825462,4900
2,5.93259330389833,4910
2,-0.338893359252864,4920
2,0.232495356607117,4950
2,-0.454316174279139,4970
2,-0.0394912505948745,4980
2,0.27570954442321,5010
2,-0.137506831183692,5011
2,0.195365616169426,5060
2,-0.158129623357452,5070
2,-0.026656202565727,5080
2,NA,5090
2,0.0759589009389667,5100
2,NA,5110
2,3.10805269988271,5120
2,-0.621531630928023,5130
2,0.220882951099092,5140
2,-0.00590048706505888,5170
2,-0.166981468675751,5180
2,1.98912313188059,5190
2,0.035915933269897,5290
2,0.72819036932288,5300
2,0.0010123154577403,5330
2,-0.606534823204116,5380
2,-0.392220200877597,5400
2,0.078405822294335,5420
2,NA,5450
2,-0.268222611505986,5460
2,1.27500480793255,5470
2,1.56950510260769,5480
2,0.485099465421224,5500
2,0.139857794397844,5520
2,2.15895360051312,5540
2,-0.276572999596571,5580
2,NA,5600
2,0.191897937066656,5610
2,0.777524321394977,5620
2,-0.0883508292808334,5630
2,0.157433665595817,5660
2,-0.0886369481691742,5730
2,NA,5750
2,-0.100126518524045,5780
2,1.16411562283339,5800
2,1.07513980413883,5810
2,0.165675178080621,5830
2,0.123605204724953,5840
2,NA,5850
2,NA,5870
2,-0.115582350625289,5880
2,-0.62533040477089,5900
2,0.078365453977147,5930
2,0.242705439996478,5950
2,0.0844138668068266,5960
2,0.241172259899779,5970
2,-0.059277338381209,5980
2,1.18438849590708,5990
2,0.175672442130783,6040
2,-0.390879480750157,6050
2,-0.0222763051445491,6070
2,-0.105286654369344,6080
2,-0.0482195655590413,6140
2,0.695829430037186,6150
2,-0.110599727499526,6170
2,1.21790552050371,6190
